sei_numero,evento,inicio_data,inicio_horario,fim_data,fim_horario,publico_previsto,cpr,cidade,efetivo_ref,cia,pelotão,motorizado,efetivo
00050-00001957/2025-53,Bloco Rainha de Corpas,2025-03-01,09:00:00,2025-03-01,13:00:00,200,1º CPR,Plano Piloto - Asa Sul,1,0,0,1,3
00050-00001733/2025-41,DF Folia - APARELHINHO,2025-03-01,10:00:00,2025-03-01,19:00:00,30000,1º CPR,Plano Piloto - Asa Sul,200,3,2,0,198
00050-00001718/2025-01,DF Folia 2025 - Bloco Sustentável do PATUBATÊ,2025-03-01,13:00:00,2025-03-01,16:00:00,5000,1º CPR,Plano Piloto - Asa Norte,33,0,2,0,36
00050-00001741/2025-98,DF Folia 2025 - BLOCO NA BATIDA DO MORRO,2025-03-01,13:00:00,2025-03-01,20:00:00,15000,1º CPR,Plano Piloto - Asa Sul,100,1,2,0,90
00050-00001588/2025-07,BLOCO MAMÃE TAGUÁ 2025,2025-03-01,13:30:00,2025-03-01,20:30:00,22000,3º CPR,Taguatinga,147,2,2,0,144
00050-00001967/2025-99,Carnaval no MimoBar,2025-03-01,14:00:00,2025-03-01,23:00:00,200,1º CPR,Plano Piloto - Asa Norte,1,0,0,1,3
00050-00001688/2025-25,Bloco Baile da Piki - DF Folia 2025,2025-03-01,14:00:00,2025-03-01,22:00:00,15000,3º CPR,Águas Claras,100,1,2,0,90
00050-00001571/2025-41,carnaquente2025,2025-03-01,14:00:00,2025-03-02,00:00:00,200,6º CPR,Água Quente,1,0,0,1,3
00050-00001862/2025-30,BLOCO BAILE DA PIKI,2025-03-01,14:00:00,2025-03-01,22:00:00,6000,3º CPR,Águas Claras,40,0,2,0,36
00050-00001244/2025-90,Carnaflow,2025-03-01,15:00:00,2025-03-01,23:59:00,500,4º CPR,Ceilândia,3,0,0,1,3
00050-00001905/2025-87,Bloco Unindo Tribos ,2025-03-01,15:00:00,2025-03-01,22:00:00,150,4º CPR,Ceilândia,1,0,0,1,3
00050-00001880/2025-11,Bloco Brincantes do Gama - DF Folia 2025,2025-03-01,15:00:00,2025-03-01,22:00:00,5000,6º CPR,Gama,33,0,2,0,36
00050-00001825/2025-21, Plataforma da Diversidade - Território Folia - DF Folia 2025,2025-03-01,15:00:00,2025-03-01,22:00:00,50000,1º CPR,Plano Piloto - Asa Norte,333,6,1,0,342
00050-00001802/2025-17,"REBU, O BLOCO - DF Folia 2025",2025-03-01,15:00:00,2025-03-01,21:00:00,15000,1º CPR,Plano Piloto - Asa Norte,100,1,2,0,90
00050-00000492/2025-13,CONCENTRA MAS NÃO SAI,2025-03-01,15:00:00,2025-03-01,22:00:00,1000,1º CPR,Plano Piloto - Asa Norte,7,0,1,0,18
00050-00001964/2025-55,Carnaval do Mangabas Bar e Restaurante Ltda ,2025-03-01,15:00:00,2025-03-01,02:00:00,900,3º CPR,Taguatinga,6,0,1,0,18
00050-00000121/2025-31,CarnaMuseu,2025-03-01,15:50:00,2025-03-01,23:45:00,10001,1º CPR,Plano Piloto - Zona Central,67,1,1,0,72
00050-00001780/2025-95,DF Folia 2025 - BLOCO GUARDIÕES DO SAMBA,2025-03-01,16:00:00,2025-03-01,03:00:00,1000,5º CPR,São Sebastião,7,0,1,0,18
